code,topic,Qnode1,label1,page1,Qnode2,label2,page2
IT,Infrastructure: telecommunications,Q66728614,Wikidata property related to internet radio,https://www.wikidata.org/wiki/Q66728614,,,
LP,Logistics performance,Q22997934,Wikidata property related to government and state,https://www.wikidata.org/wiki/Q22997934,,,
MG,Millennium Development Goals,Q22984475,Wikidata property related to politics,https://www.wikidata.org/wiki/Q22984475,Q22997934,Wikidata property related to government and state,https://www.wikidata.org/wiki/Q22997934
MS,Military statistics,Q22997934,Wikidata property related to government and state,https://www.wikidata.org/wiki/Q22997934,,,
NE,National accounts: expenditure,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,,,
NV,National accounts: value added,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,Q22997934,Wikidata property related to government and state,https://www.wikidata.org/wiki/Q22997934
NY,National accounts: income,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,Q22997934,Wikidata property related to government and state,https://www.wikidata.org/wiki/Q22997934
PA,Prices: period average,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,Q22997934,Wikidata property related to government and state,https://www.wikidata.org/wiki/Q22997934
PE,Prices: end period,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,,,
PX,Prices: index,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,,,
SD,Social: development,Q22984475,Wikidata property related to politics,https://www.wikidata.org/wiki/Q22984475,,,
SE,Social: education,Q22984450,Wikidata property related to education,https://www.wikidata.org/wiki/Q22984450,,,
SF,Social: infrastructure,Q22997934,Wikidata property related to government and state,https://www.wikidata.org/wiki/Q22997934,,,
SG,Social: gender,Q22997934,Wikidata property related to government and state,https://www.wikidata.org/wiki/Q22997934,,,
SH,Social: health,Q22997934,Wikidata property related to government and state,https://www.wikidata.org/wiki/Q22997934,,,
SI,Social: income,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,,,
SL,Social: labor,Q22997934,Wikidata property related to government and state,https://www.wikidata.org/wiki/Q22997934,,,
SM,Social: migration,Q22997934,Wikidata property related to government and state,https://www.wikidata.org/wiki/Q22997934,Q22984475,Wikidata property related to politics,https://www.wikidata.org/wiki/Q22984475
SN,Social: nutrition,Q22997934,Wikidata property related to government and state,https://www.wikidata.org/wiki/Q22997934,,,
SP,Social: population,Q22997934,Wikidata property related to government and state,https://www.wikidata.org/wiki/Q22997934,Q22984494,Wikidata property related to demography,https://www.wikidata.org/wiki/Q22984494
SR,Social: natural resources,Q22997934,Wikidata property related to government and state,https://www.wikidata.org/wiki/Q22997934,,,
ST,Social: tourism,Q29110152,Wikidata property related to tourism,https://www.wikidata.org/wiki/Q29110152,,,
TG,Trade: gross,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,,,
TM,Trade: imports,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,,,
TP,Trade: policy,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,Q22997934,Wikidata property related to government and state,https://www.wikidata.org/wiki/Q22997934
TT,Trade: terms of trade,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,Q22997934,Wikidata property related to government and state,https://www.wikidata.org/wiki/Q22997934
TX,Trade: exports,Q21451178,Wikidata property related to economics,https://www.wikidata.org/wiki/Q21451178,,,
VC,Violence and conflict,Q22984475,Wikidata property related to politics,https://www.wikidata.org/wiki/Q22984475,Q18608756,Wikidata property for birth or death,https://www.wikidata.org/wiki/Q18608756
